HR-Employee-Attrition-完美中文版,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齡,流失,出差頻率,日薪,部門,家住距離,教育程度,教育領域,員工數,員工編號,環境滿意度,性別,小時薪資,工作投入度,職級,職位角色,工作滿意度,婚姻狀態,月薪,月費率,曾工作公司數,超過18歲,加班,加薪百分比,績效評級,關係滿意度,標準工時,股票選擇權等級,總工作年資,去年訓練次數,工作生活平衡,在公司年資,目前角色年資,上次升遷年資,目前主管年資
34,否,偶爾出差,1346,研發部,19,2,醫學,1,18,2,男性,93,3,1,實驗室技術員,4,離婚,2661,8758,0,是,否,11,3,3,80,1,3,2,3,2,2,1,2
28,是,偶爾出差,103,研發部,24,3,生命科學,1,19,3,男性,50,2,1,實驗室技術員,3,單身,2028,12947,5,是,是,14,3,2,80,0,6,4,3,4,2,0,3
29,否,偶爾出差,1389,研發部,21,4,生命科學,1,20,2,女性,51,4,3,製造總監,1,離婚,9980,10195,1,是,否,11,3,3,80,1,10,1,3,10,9,8,8
32,否,偶爾出差,334,研發部,5,2,生命科學,1,21,1,男性,80,4,1,研究科學家,2,離婚,3298,15053,0,是,是,12,3,4,80,2,7,5,2,6,2,0,5
22,否,不出差,1123,研發部,16,2,醫學,1,22,4,男性,96,4,1,實驗室技術員,4,離婚,2935,7324,1,是,是,13,3,2,80,2,1,2,2,1,0,0,0
53,否,偶爾出差,1219,銷售部,2,4,生命科學,1,23,1,女性,78,2,4,經理,4,已婚,15427,22021,2,是,否,16,3,3,80,0,31,3,3,25,8,3,7
38,否,偶爾出差,371,研發部,2,3,生命科學,1,24,4,男性,45,3,1,研究科學家,4,單身,3944,4306,5,是,是,11,3,3,80,0,6,3,3,3,2,1,2
24,否,不出差,673,研發部,11,2,其他,1,26,1,女性,96,4,2,製造總監,3,離婚,4011,8232,0,是,否,18,3,4,80,1,5,5,2,4,2,1,3
36,是,偶爾出差,1218,銷售部,9,4,生命科學,1,27,3,男性,82,2,1,銷售代表,1,單身,3407,6986,7,是,否,23,4,2,80,0,10,4,3,5,3,0,3
34,否,偶爾出差,419,研發部,7,4,生命科學,1,28,1,女性,53,3,3,研究總監,2,單身,11994,21293,0,是,否,11,3,3,80,0,13,4,3,12,6,2,11
21,否,偶爾出差,391,研發部,15,2,生命科學,1,30,3,男性,96,3,1,研究科學家,4,單身,1232,19281,1,是,否,14,3,4,80,0,0,6,3,0,0,0,0
34,是,偶爾出差,699,研發部,6,1,醫學,1,31,2,男性,83,3,1,研究科學家,1,單身,2960,17102,2,是,否,11,3,3,80,0,8,2,3,4,2,1,3
53,否,偶爾出差,1282,研發部,5,3,其他,1,32,3,女性,58,3,5,經理,3,離婚,19094,10735,4,是,否,11,3,4,80,1,26,3,2,14,13,4,8
32,是,頻繁出差,1125,研發部,16,1,生命科學,1,33,2,女性,72,1,1,研究科學家,1,單身,3919,4681,1,是,是,22,4,2,80,0,10,5,3,10,2,6,7
42,否,偶爾出差,691,銷售部,8,4,行銷,1,35,3,男性,48,3,2,銷售執行,2,已婚,6825,21173,0,是,否,11,3,4,80,1,10,2,3,9,7,4,2
44,否,偶爾出差,477,研發部,7,4,醫學,1,36,1,女性,42,2,3,醫療代表,4,已婚,10248,2094,3,是,否,14,3,4,80,1,24,4,3,22,6,5,17
46,否,偶爾出差,705,銷售部,2,4,行銷,1,38,2,女性,83,3,5,經理,1,單身,18947,22822,3,是,否,12,3,4,80,0,22,2,2,2,2,2,1
33,否,偶爾出差,924,研發部,2,3,醫學,1,39,3,男性,78,3,1,實驗室技術員,4,單身,2496,6670,4,是,否,11,3,4,80,0,7,3,3,1,1,0,0
44,否,偶爾出差,1459,研發部,10,4,其他,1,40,4,男性,41,3,2,醫療代表,4,已婚,6465,19121,2,是,是,13,3,4,80,0,9,5,4,4,2,1,3
30,否,偶爾出差,125,研發部,9,2,醫學,1,41,4,男性,83,2,1,實驗室技術員,3,單身,2206,16117,1,是,否,13,3,1,80,0,10,5,3,10,0,1,8
39,是,偶爾出差,895,銷售部,5,3,技術學位,1,42,4,男性,56,3,2,銷售代表,4,已婚,2086,3335,3,是,否,14,3,3,80,1,19,6,4,1,0,0,0
24,是,偶爾出差,813,研發部,1,3,醫學,1,45,2,男性,61,3,1,研究科學家,4,已婚,2293,3020,2,是,是,16,3,1,80,1,6,2,2,2,0,2,0
43,否,偶爾出差,1273,研發部,2,2,醫學,1,46,4,女性,72,4,1,研究科學家,3,離婚,2645,21923,1,是,否,12,3,4,80,2,6,3,2,5,3,1,4
50,是,偶爾出差,869,銷售部,3,2,行銷,1,47,1,男性,86,2,1,銷售代表,3,已婚,2683,3810,1,是,是,14,3,3,80,0,3,2,3,3,2,0,2
35,否,偶爾出差,890,銷售部,2,3,行銷,1,49,4,女性,97,3,1,銷售代表,4,已婚,2014,9687,1,是,否,13,3,1,80,0,2,3,3,2,2,2,2
36,否,偶爾出差,852,研發部,5,4,生命科學,1,51,2,女性,82,2,1,研究科學家,1,已婚,3419,13072,9,是,是,14,3,4,80,1,6,3,4,1,1,0,0
33,否,頻繁出差,1141,銷售部,1,3,生命科學,1,52,3,女性,42,4,2,銷售執行,1,已婚,5376,3193,2,是,否,19,3,1,80,2,10,3,3,5,3,1,3
35,否,偶爾出差,464,研發部,4,2,其他,1,53,3,男性,75,3,1,實驗室技術員,4,離婚,1951,10910,1,是,否,12,3,3,80,1,1,3,3,1,0,0,0
27,否,偶爾出差,1240,研發部,2,4,生命科學,1,54,4,女性,33,3,1,實驗室技術員,1,離婚,2341,19715,1,是,否,13,3,4,80,1,1,6,3,1,0,0,0
26,是,偶爾出差,1357,研發部,25,3,生命科學,1,55,1,男性,48,1,1,實驗室技術員,3,單身,2293,10558,1,是,否,12,3,3,80,0,1,2,2,1,0,0,1
27,否,頻繁出差,994,銷售部,8,3,生命科學,1,56,4,男性,37,3,3,銷售執行,3,單身,8726,2975,1,是,否,15,3,4,80,0,9,0,3,9,8,1,7
30,否,頻繁出差,721,研發部,1,2,醫學,1,57,3,女性,58,3,2,實驗室技術員,4,單身,4011,10781,1,是,否,23,4,4,80,0,12,2,3,12,8,3,7
41,是,偶爾出差,1360,研發部,12,3,技術學位,1,58,2,女性,49,3,5,研究總監,3,已婚,19545,16280,1,是,否,12,3,4,80,0,23,0,3,22,15,15,8
34,否,不出差,1065,銷售部,23,4,行銷,1,60,2,男性,72,3,2,銷售執行,3,單身,4568,10034,0,是,否,20,4,3,80,0,10,2,3,9,5,8,7
37,否,偶爾出差,408,研發部,19,2,生命科學,1,61,2,男性,73,3,1,研究科學家,2,已婚,3022,10227,4,是,否,21,4,1,80,0,8,1,3,1,0,0,0
46,否,頻繁出差,1211,銷售部,5,4,行銷,1,62,1,男性,98,3,2,銷售執行,4,單身,5772,20445,4,是,是,21,4,3,80,0,14,4,3,9,6,0,8
35,否,偶爾出差,1229,研發部,8,1,生命科學,1,63,4,男性,36,4,1,實驗室技術員,4,已婚,2269,4892,1,是,否,19,3,4,80,0,1,2,3,1,0,0,1
48,是,偶爾出差,626,研發部,1,2,生命科學,1,64,1,男性,98,2,3,實驗室技術員,3,單身,5381,19294,9,是,是,13,3,4,80,0,23,2,3,1,0,0,0
28,是,偶爾出差,1434,研發部,5,4,技術學位,1,65,3,男性,50,3,1,實驗室技術員,3,單身,3441,11179,1,是,是,13,3,3,80,0,2,3,2,2,2,2,2
44,否,偶爾出差,1488,銷售部,1,5,行銷,1,68,2,女性,75,3,2,銷售執行,1,離婚,5454,4009,5,是,是,21,4,3,80,1,9,2,2,4,3,1,3
35,否,不出差,1097,研發部,11,2,醫學,1,70,3,男性,79,2,3,醫療代表,1,已婚,9884,8302,2,是,是,13,3,3,80,1,10,3,3,4,0,2,3
26,否,偶爾出差,1443,銷售部,23,3,行銷,1,72,3,女性,47,2,2,銷售執行,4,已婚,4157,21436,7,是,是,19,3,3,80,1,5,2,2,2,2,0,0
33,否,頻繁出差,515,研發部,1,2,生命科學,1,73,1,女性,98,3,3,研究總監,4,單身,13458,15146,1,是,是,12,3,3,80,0,15,1,3,15,14,8,12
35,否,頻繁出差,853,銷售部,18,5,生命科學,1,74,2,男性,71,3,3,銷售執行,1,已婚,9069,11031,1,是,否,22,4,4,80,1,9,3,2,9,8,1,8
35,否,偶爾出差,1142,研發部,23,4,醫學,1,75,3,女性,30,3,1,實驗室技術員,1,已婚,4014,16002,3,是,是,15,3,3,80,1,4,3,3,2,2,2,2
31,否,偶爾出差,655,研發部,7,4,生命科學,1,76,4,男性,48,3,2,實驗室技術員,4,離婚,5915,9528,3,是,否,22,4,4,80,1,10,3,2,7,7,1,7
37,否,偶爾出差,1115,研發部,1,4,生命科學,1,77,1,男性,51,2,2,製造總監,3,離婚,5993,2689,1,是,否,18,3,3,80,1,7,2,4,7,5,0,7
32,否,偶爾出差,427,研發部,1,3,醫學,1,78,1,男性,33,3,2,製造總監,4,已婚,6162,10877,1,是,是,22,4,2,80,1,9,3,3,9,8,7,8
38,否,頻繁出差,653,研發部,29,5,生命科學,1,79,4,女性,50,3,2,實驗室技術員,4,單身,2406,5456,1,是,否,11,3,4,80,0,10,2,3,10,3,9,9
50,否,偶爾出差,989,研發部,7,2,醫學,1,80,2,女性,43,2,5,研究總監,3,離婚,18740,16701,5,是,是,12,3,4,80,1,29,2,2,27,3,13,8
59,否,偶爾出差,1435,銷售部,25,3,生命科學,1,81,1,女性,99,3,3,銷售執行,1,單身,7637,2354,7,是,否,11,3,4,80,0,28,3,2,21,16,7,9
36,否,偶爾出差,1223,研發部,8,3,技術學位,1,83,3,女性,59,3,3,醫療代表,3,離婚,10096,8202,1,是,否,13,3,2,80,3,17,2,3,17,14,12,8
55,否,偶爾出差,836,研發部,8,3,醫學,1,84,4,女性,33,3,4,經理,3,離婚,14756,19730,2,是,是,14,3,3,80,3,21,2,3,5,0,0,2
36,否,頻繁出差,1195,研發部,11,3,生命科學,1,85,2,男性,95,2,2,製造總監,2,單身,6499,22656,1,是,否,13,3,3,80,0,6,3,3,6,5,0,3
45,否,偶爾出差,1339,研發部,7,3,生命科學,1,86,2,男性,59,3,3,研究科學家,1,離婚,9724,18787,2,是,否,17,3,3,80,1,25,2,3,1,0,0,0
35,否,頻繁出差,664,研發部,1,3,醫學,1,88,2,男性,79,3,1,研究科學家,1,已婚,2194,5868,4,是,否,13,3,4,80,1,5,2,2,3,2,1,2
36,是,偶爾出差,318,研發部,9,3,醫學,1,90,4,男性,79,2,1,研究科學家,3,已婚,3388,21777,0,是,是,17,3,1,80,1,2,0,2,1,0,0,0
59,否,頻繁出差,1225,銷售部,1,1,生命科學,1,91,1,女性,57,2,2,銷售執行,3,單身,5473,24668,7,是,否,11,3,4,80,0,20,2,2,4,3,1,3
29,否,偶爾出差,1328,研發部,2,3,生命科學,1,94,3,男性,76,3,1,研究科學家,2,已婚,2703,4956,0,是,否,23,4,4,80,1,6,3,3,5,4,0,4
31,否,偶爾出差,1082,研發部,1,4,醫學,1,95,3,男性,87,3,1,研究科學家,2,單身,2501,18775,1,是,否,17,3,2,80,0,1,4,3,1,1,1,0
32,否,偶爾出差,548,研發部,1,3,生命科學,1,96,2,男性,66,3,2,研究科學家,2,已婚,6220,7346,1,是,否,17,3,2,80,2,10,3,3,10,4,0,9
36,否,偶爾出差,132,研發部,6,3,生命科學,1,97,2,女性,55,4,1,實驗室技術員,4,已婚,3038,22002,3,是,否,12,3,2,80,0,5,3,3,1,0,0,0
31,否,偶爾出差,746,研發部,8,4,生命科學,1,98,3,女性,61,3,2,製造總監,4,單身,4424,20682,1,是,否,23,4,4,80,0,11,2,3,11,7,1,8
35,否,偶爾出差,776,銷售部,1,4,行銷,1,100,3,男性,32,2,2,銷售執行,1,單身,4312,23016,0,是,否,14,3,2,80,0,16,2,3,15,13,2,8
45,否,偶爾出差,193,研發部,6,4,其他,1,101,4,男性,52,3,3,研究總監,1,已婚,13245,15067,4,是,是,14,3,2,80,0,17,3,4,0,0,0,0
37,否,偶爾出差,397,研發部,7,4,醫學,1,102,1,男性,30,3,3,研究總監,3,單身,13664,25258,4,是,否,13,3,1,80,0,16,3,4,5,2,0,2
46,否,偶爾出差,945,人力資源專員,5,2,醫學,1,103,2,男性,80,3,2,人力資源專員,2,離婚,5021,10425,8,是,是,22,4,4,80,1,16,2,3,4,2,0,2
30,否,偶爾出差,852,研發部,1,1,生命科學,1,104,4,男性,55,2,2,實驗室技術員,4,已婚,5126,15998,1,是,是,12,3,3,80,2,10,1,2,10,8,3,0
35,否,偶爾出差,1214,研發部,1,3,醫學,1,105,2,男性,30,2,1,研究科學家,3,單身,2859,26278,1,是,否,18,3,1,80,0,6,3,3,6,4,0,4
55,否,偶爾出差,111,銷售部,1,2,生命科學,1,106,1,男性,70,3,3,銷售執行,4,已婚,10239,18092,3,是,否,14,3,4,80,1,24,4,3,1,0,1,0
38,否,不出差,573,研發部,6,3,醫學,1,107,2,女性,79,1,2,研究科學家,4,離婚,5329,15717,7,是,是,12,3,4,80,3,17,3,3,13,11,1,9
34,否,偶爾出差,1153,研發部,1,2,醫學,1,110,1,男性,94,3,2,製造總監,2,已婚,4325,17736,1,是,否,15,3,3,80,0,5,2,3,5,2,1,3
56,否,偶爾出差,1400,研發部,7,3,生命科學,1,112,4,男性,49,1,3,製造總監,4,單身,7260,21698,4,是,否,11,3,1,80,0,37,3,2,6,4,0,2
23,否,偶爾出差,541,銷售部,2,1,技術學位,1,113,3,男性,62,3,1,銷售代表,1,離婚,2322,9518,3,是,否,13,3,3,80,1,3,3,3,0,0,0,0
51,否,偶爾出差,432,研發部,9,4,生命科學,1,116,4,男性,96,3,1,實驗室技術員,4,已婚,2075,18725,3,是,否,23,4,2,80,2,10,4,3,4,2,0,3
30,否,偶爾出差,288,研發部,2,3,生命科學,1,117,3,男性,99,2,2,醫療代表,4,已婚,4152,15830,1,是,否,19,3,1,80,3,11,3,3,11,10,10,8
46,是,偶爾出差,669,銷售部,9,2,醫學,1,118,3,男性,64,2,3,銷售執行,4,單身,9619,13596,1,是,否,16,3,4,80,0,9,3,3,9,8,4,7
40,否,頻繁出差,530,研發部,1,4,生命科學,1,119,3,男性,78,2,4,醫療代表,2,已婚,13503,14115,1,是,否,22,4,4,80,1,22,3,2,22,3,11,11
51,否,偶爾出差,632,銷售部,21,4,行銷,1,120,3,男性,71,3,2,銷售執行,4,單身,5441,8423,0,是,是,22,4,4,80,0,11,2,1,10,7,1,0
30,否,偶爾出差,1334,銷售部,4,2,醫學,1,121,3,女性,63,2,2,銷售執行,2,離婚,5209,19760,1,是,是,12,3,2,80,3,11,4,2,11,8,2,7
46,否,頻繁出差,638,研發部,1,3,醫學,1,124,3,男性,40,2,3,醫療代表,1,已婚,10673,3142,2,是,是,13,3,3,80,1,21,5,2,10,9,9,5
32,否,偶爾出差,1093,銷售部,6,4,醫學,1,125,2,男性,87,3,2,銷售執行,3,單身,5010,24301,1,是,否,16,3,1,80,0,12,0,3,11,8,5,7
54,否,偶爾出差,1217,研發部,2,4,技術學位,1,126,1,女性,60,3,3,研究總監,3,已婚,13549,24001,9,是,否,12,3,1,80,1,16,5,1,4,3,0,3
24,否,偶爾出差,1353,銷售部,3,2,其他,1,128,1,女性,33,3,2,銷售執行,3,已婚,4999,17519,0,是,否,21,4,1,80,1,4,2,2,3,2,0,2
28,否,不出差,120,銷售部,4,3,醫學,1,129,2,男性,43,3,2,銷售執行,3,已婚,4221,8863,1,是,否,15,3,2,80,0,5,3,4,5,4,0,4
58,否,偶爾出差,682,銷售部,10,4,醫學,1,131,4,男性,37,3,4,銷售執行,3,單身,13872,24409,0,是,否,13,3,3,80,0,38,1,2,37,10,1,8
44,否,不出差,489,研發部,23,3,醫學,1,132,2,男性,67,3,2,實驗室技術員,2,已婚,2042,25043,4,是,否,12,3,3,80,1,17,3,4,3,2,1,2
37,是,偶爾出差,807,人力資源專員,6,4,人力資源專員,1,133,3,男性,63,3,1,人力資源專員,1,離婚,2073,23648,4,是,是,22,4,4,80,0,7,3,3,3,2,0,2
32,否,偶爾出差,827,研發部,1,1,生命科學,1,134,4,男性,71,3,1,研究科學家,1,單身,2956,15178,1,是,否,13,3,4,80,0,1,2,3,1,0,0,0
20,是,頻繁出差,871,研發部,6,3,生命科學,1,137,4,女性,66,2,1,實驗室技術員,4,單身,2926,19783,1,是,是,18,3,2,80,0,1,5,3,1,0,1,0
34,否,偶爾出差,665,研發部,6,4,其他,1,138,1,女性,41,3,2,研究科學家,3,單身,4809,12482,1,是,否,14,3,3,80,0,16,3,3,16,13,2,10
37,否,不出差,1040,研發部,2,2,生命科學,1,139,3,男性,100,2,2,醫療代表,4,離婚,5163,15850,5,是,否,14,3,4,80,1,17,2,4,1,0,0,0
59,否,不出差,1420,人力資源專員,2,4,人力資源專員,1,140,3,女性,32,2,5,經理,4,已婚,18844,21922,9,是,否,21,4,4,80,1,30,3,3,3,2,2,2
50,否,頻繁出差,1115,研發部,1,3,生命科學,1,141,1,女性,73,3,5,研究總監,2,已婚,18172,9755,3,是,是,19,3,1,80,0,28,1,2,8,3,0,7
25,是,偶爾出差,240,銷售部,5,3,行銷,1,142,3,男性,46,2,2,銷售執行,3,單身,5744,26959,1,是,是,11,3,4,80,0,6,1,3,6,4,0,3
25,否,偶爾出差,1280,研發部,7,1,醫學,1,143,4,男性,64,2,1,研究科學家,4,已婚,2889,26897,1,是,否,11,3,3,80,2,2,2,3,2,2,2,1
22,否,偶爾出差,534,研發部,15,3,醫學,1,144,2,女性,59,3,1,實驗室技術員,4,單身,2871,23785,1,是,否,15,3,3,80,0,1,5,3,0,0,0,0
51,否,頻繁出差,1456,研發部,1,4,醫學,1,145,1,女性,30,2,3,醫療代表,1,單身,7484,25796,3,是,否,20,4,3,80,0,23,1,2,13,12,12,8
34,是,頻繁出差,658,研發部,7,3,生命科學,1,147,1,男性,66,1,2,實驗室技術員,3,單身,6074,22887,1,是,是,24,4,4,80,0,9,3,3,9,7,0,6
54,否,不出差,142,人力資源專員,26,3,人力資源專員,1,148,4,女性,30,4,4,經理,4,單身,17328,13871,2,是,是,12,3,3,80,0,23,3,3,5,3,4,4
24,否,偶爾出差,1127,研發部,18,1,生命科學,1,150,2,男性,52,3,1,實驗室技術員,3,已婚,2774,13257,0,是,否,12,3,3,80,1,6,2,3,5,3,1,2
34,否,偶爾出差,1031,研發部,6,4,生命科學,1,151,3,女性,45,2,2,研究科學家,2,離婚,4505,15000,6,是,否,15,3,3,80,1,12,3,3,1,0,0,0
37,否,偶爾出差,1189,銷售部,3,3,生命科學,1,152,3,男性,87,3,3,銷售執行,4,單身,7428,14506,2,是,否,12,3,1,80,0,12,3,3,5,3,1,3
34,否,偶爾出差,1354,研發部,5,3,醫學,1,153,3,女性,45,2,3,經理,1,單身,11631,5615,2,是,否,12,3,4,80,0,14,6,3,11,10,5,8
36,否,頻繁出差,1467,銷售部,11,2,技術學位,1,154,2,女性,92,3,3,銷售執行,4,已婚,9738,22952,0,是,否,14,3,3,80,1,10,6,3,9,7,2,8
36,否,偶爾出差,922,研發部,3,2,生命科學,1,155,1,女性,39,3,1,實驗室技術員,4,離婚,2835,2561,5,是,否,22,4,1,80,1,7,2,3,1,0,0,0
43,否,頻繁出差,394,銷售部,26,2,生命科學,1,158,3,男性,92,3,4,經理,4,已婚,16959,19494,1,是,是,12,3,4,80,2,25,3,4,25,12,4,12
30,否,頻繁出差,1312,研發部,23,3,生命科學,1,159,1,男性,96,1,1,研究科學家,3,離婚,2613,22310,1,是,否,25,4,3,80,3,10,2,2,10,7,0,9
33,否,不出差,750,銷售部,22,2,行銷,1,160,3,男性,95,3,2,銷售執行,2,已婚,6146,15480,0,是,否,13,3,1,80,1,8,2,4,7,7,0,7
56,是,偶爾出差,441,研發部,14,4,生命科學,1,161,2,女性,72,3,1,研究科學家,2,已婚,4963,4510,9,是,是,18,3,1,80,3,7,2,3,5,4,4,3
51,否,偶爾出差,684,研發部,6,3,生命科學,1,162,1,男性,51,3,5,研究總監,3,單身,19537,6462,7,是,否,13,3,3,80,0,23,5,3,20,18,15,15
31,是,偶爾出差,249,銷售部,6,4,生命科學,1,163,2,男性,76,1,2,銷售執行,3,已婚,6172,20739,4,是,是,18,3,2,80,0,12,3,2,7,7,7,7
26,否,偶爾出差,841,研發部,6,3,其他,1,164,3,女性,46,2,1,研究科學家,2,已婚,2368,23300,1,是,否,19,3,3,80,0,5,3,2,5,4,4,3
58,是,偶爾出差,147,研發部,23,4,醫學,1,165,4,女性,94,3,3,醫療代表,4,已婚,10312,3465,1,是,否,12,3,4,80,1,40,3,2,40,10,15,6
19,是,偶爾出差,528,銷售部,22,1,行銷,1,167,4,男性,50,3,1,銷售代表,3,單身,1675,26820,1,是,是,19,3,4,80,0,0,2,2,0,0,0,0
22,否,偶爾出差,594,研發部,2,1,技術學位,1,169,3,男性,100,3,1,實驗室技術員,4,已婚,2523,19299,0,是,否,14,3,3,80,1,3,2,3,2,1,2,1
49,否,偶爾出差,470,研發部,20,4,醫學,1,170,3,女性,96,3,2,製造總監,1,已婚,6567,5549,1,是,否,14,3,3,80,0,16,2,2,15,11,5,11
43,否,頻繁出差,957,研發部,28,3,醫學,1,171,2,女性,72,4,1,研究科學家,3,單身,4739,16090,4,是,否,12,3,4,80,0,18,2,3,3,2,1,2
50,否,頻繁出差,809,銷售部,12,3,行銷,1,174,3,女性,77,3,3,銷售執行,4,單身,9208,6645,4,是,否,11,3,4,80,0,16,3,3,2,2,2,1
31,是,偶爾出差,542,銷售部,20,3,生命科學,1,175,2,女性,71,1,2,銷售執行,3,已婚,4559,24788,3,是,是,11,3,3,80,1,4,2,3,2,2,2,2
41,否,偶爾出差,802,銷售部,9,1,生命科學,1,176,3,男性,96,3,3,銷售執行,3,離婚,8189,21196,3,是,是,13,3,3,80,1,12,2,3,9,7,0,7
26,否,偶爾出差,1355,人力資源專員,25,1,生命科學,1,177,3,女性,61,3,1,人力資源專員,3,已婚,2942,8916,1,是,否,23,4,4,80,1,8,3,3,8,7,5,7
36,否,偶爾出差,216,研發部,6,2,醫學,1,178,2,男性,84,3,2,製造總監,2,離婚,4941,2819,6,是,否,20,4,4,80,2,7,0,3,3,2,0,1
51,是,頻繁出差,1150,研發部,8,4,生命科學,1,179,1,男性,53,1,3,製造總監,4,單身,10650,25150,2,是,否,15,3,4,80,0,18,2,3,4,2,0,3
39,否,偶爾出差,1329,銷售部,4,4,生命科學,1,182,4,女性,47,2,2,銷售執行,3,已婚,5902,14590,4,是,否,14,3,3,80,1,17,1,4,15,11,5,9
25,否,偶爾出差,959,銷售部,28,3,生命科學,1,183,1,男性,41,2,2,銷售執行,3,已婚,8639,24835,2,是,否,18,3,4,80,0,6,3,3,2,2,2,2
30,否,偶爾出差,1240,人力資源專員,9,3,人力資源專員,1,184,3,男性,48,3,2,人力資源專員,4,已婚,6347,13982,0,是,是,19,3,4,80,0,12,2,1,11,9,4,7
32,是,偶爾出差,1033,研發部,9,3,醫學,1,190,1,女性,41,3,1,實驗室技術員,1,單身,4200,10224,7,是,否,22,4,1,80,0,10,2,4,5,4,0,4
45,否,偶爾出差,1316,研發部,29,3,醫學,1,192,3,男性,83,3,1,研究科學家,4,單身,3452,9752,5,是,否,13,3,2,80,0,9,2,2,6,5,0,3
38,否,偶爾出差,364,研發部,3,5,技術學位,1,193,4,女性,32,3,2,研究科學家,3,單身,4317,2302,3,是,是,20,4,2,80,0,19,2,3,3,2,2,2
30,否,偶爾出差,438,研發部,18,3,生命科學,1,194,1,女性,75,3,1,研究科學家,3,單身,2632,23910,1,是,否,14,3,3,80,0,5,4,2,5,4,0,4
32,否,頻繁出差,689,銷售部,9,2,醫學,1,195,4,男性,35,1,2,銷售執行,4,離婚,4668,22812,0,是,否,17,3,4,80,3,9,2,4,8,7,0,7
30,否,偶爾出差,201,研發部,5,3,技術學位,1,197,4,女性,84,3,1,研究科學家,1,離婚,3204,10415,5,是,否,14,3,4,80,1,8,3,3,3,2,2,2
30,否,偶爾出差,1427,研發部,2,1,醫學,1,198,2,男性,35,2,1,實驗室技術員,4,單身,2720,11162,0,是,否,13,3,4,80,0,6,3,3,5,3,1,2
41,否,頻繁出差,857,研發部,10,3,生命科學,1,199,4,男性,91,2,4,經理,1,離婚,17181,12888,4,是,否,13,3,2,80,1,21,2,2,7,6,7,7
41,否,偶爾出差,933,研發部,9,4,生命科學,1,200,3,男性,94,3,1,實驗室技術員,1,已婚,2238,6961,2,是,否,21,4,4,80,1,7,2,3,5,0,1,4
19,否,偶爾出差,1181,研發部,3,1,醫學,1,201,2,女性,79,3,1,實驗室技術員,2,單身,1483,16102,1,是,否,14,3,4,80,0,1,3,3,1,0,0,0
40,否,頻繁出差,1395,研發部,26,3,醫學,1,202,2,女性,54,3,2,研究科學家,2,離婚,5605,8504,1,是,否,11,3,1,80,1,20,2,3,20,7,2,13
